Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
Jan-76,0.099,0.079,,
Feb-76,0.099,0.077,,
Mar-76,0.099,0.076,,
Apr-76,0.098,0.077,,
May-76,0.096,0.074,,
Jun-76,0.094,0.076,,
Jul-76,0.092,0.078,,
Aug-76,0.091,0.078,,
Sep-76,0.09,0.076,,
Oct-76,0.09,0.077,,
Nov-76,0.09,0.078,,
Dec-76,0.09,0.078,,
Jan-77,0.089,0.075,,
Feb-77,0.088,0.076,,
Mar-77,0.086,0.074,,
Apr-77,0.084,0.072,,
May-77,0.083,0.07,,
Jun-77,0.082,0.072,,
Jul-77,0.082,0.069,,
Aug-77,0.081,0.07,,
Sep-77,0.08,0.068,,
Oct-77,0.079,0.068,,
Nov-77,0.077,0.068,,
Dec-77,0.075,0.064,,
Jan-78,0.072,0.064,,
Feb-78,0.07,0.063,,
Mar-78,0.069,0.063,,
Apr-78,0.068,0.061,,
May-78,0.068,0.06,,
Jun-78,0.068,0.059,,
Jul-78,0.069,0.062,,
Aug-78,0.069,0.059,,
Sep-78,0.07,0.06,,
Oct-78,0.07,0.058,,
Nov-78,0.071,0.059,,
Dec-78,0.071,0.06,,
Jan-79,0.072,0.059,,
Feb-79,0.072,0.059,,
Mar-79,0.072,0.058,,
Apr-79,0.072,0.058,,
May-79,0.073,0.056,,
Jun-79,0.074,0.057,,
Jul-79,0.076,0.057,,
Aug-79,0.079,0.06,,
Sep-79,0.082,0.059,,
Oct-79,0.085,0.06,,
Nov-79,0.088,0.059,,
Dec-79,0.092,0.06,,
Jan-80,0.097,0.063,,
Feb-80,0.104,0.063,,
Mar-80,0.113,0.063,,
Apr-80,0.122,0.069,,
May-80,0.129,0.075,,
Jun-80,0.134,0.076,,
Jul-80,0.136,0.078,,
Aug-80,0.135,0.077,,
Sep-80,0.132,0.075,,
Oct-80,0.129,0.075,,
Nov-80,0.126,0.075,,
Dec-80,0.125,0.072,,
Jan-81,0.124,0.075,,
Feb-81,0.122,0.074,,
Mar-81,0.121,0.074,,
Apr-81,0.119,0.072,,
May-81,0.118,0.075,,
Jun-81,0.117,0.075,,
Jul-81,0.118,0.072,,
Aug-81,0.12,0.074,,
Sep-81,0.124,0.076,,
Oct-81,0.129,0.079,,
Nov-81,0.135,0.083,,
Dec-81,0.14,0.085,,
Jan-82,0.144,0.086,,
Feb-82,0.147,0.089,,
Mar-82,0.148,0.09,,
Apr-82,0.149,0.093,,
May-82,0.149,0.094,,
Jun-82,0.149,0.096,,
Jul-82,0.151,0.098,,
Aug-82,0.154,0.098,,
Sep-82,0.158,0.101,,
Oct-82,0.162,0.104,,
Nov-82,0.164,0.108,,
Dec-82,0.165,0.108,,
Jan-83,0.164,0.104,,
Feb-83,0.161,0.104,,
Mar-83,0.158,0.103,,
Apr-83,0.154,0.102,,
May-83,0.15,0.101,,
Jun-83,0.147,0.101,,
Jul-83,0.143,0.094,,
Aug-83,0.139,0.095,,
Sep-83,0.134,0.092,,
Oct-83,0.13,0.088,,
Nov-83,0.126,0.085,,
Dec-83,0.122,0.083,,
Jan-84,0.119,0.08,,
