state,pop_est_2014
Wyoming,584153
Vermont,626562
District of Columbia,658893
Alaska,736732
North Dakota,739482
South Dakota,853175
Delaware,935614
Montana,1023579
Rhode Island,1055173
New Hampshire,1326813
Maine,1330089
Hawaii,1419561
Idaho,1634464
West Virginia,1850326
Nebraska,1881503
New Mexico,2085572
Nevada,2839099
Kansas,2904021
Utah,2942902
Arkansas,2966369
Mississippi,2994079
Iowa,3107126
Connecticut,3596677
Oklahoma,3878051
Oregon,3970239
Kentucky,4413457
Louisiana,4649676
South Carolina,4832482
Alabama,4849377
Colorado,5355866
Minnesota,5457173
Wisconsin,5757564
Maryland,5976407
Missouri,6063589
Tennessee,6549352
Indiana,6596855
Arizona,6731484
Massachusetts,6745408
Washington,7061530
Virginia,8326289
New Jersey,8938175
Michigan,9909877
North Carolina,9943964
Georgia,10097343
Ohio,11594163
Pennsylvania,12787209
Illinois,12880580
New York,19746227
Florida,19893297
Texas,26956958
California,38802500
